Time (abs), P1 (atm), SetP1 (atm), Rate (Hz) 
12:55.0,198.1,200,286.06
12:55.0,198.12,200,285.28
12:55.0,198.11,200,284.55
12:55.1,198.11,200,282.03
12:55.1,198.11,200,283.63
12:55.1,198.11,200,283.08
12:55.1,198.11,200,283.08
12:55.1,198.11,200,282.94
12:55.2,198.12,200,283.36
12:55.2,198.11,200,283.36
12:55.2,198.11,200,282.49
12:55.2,198.12,200,283.68
12:55.3,198.12,200,283.68
12:55.3,198.1,200,281.8
12:55.3,198.1,200,282.49
12:55.3,198.12,200,284.55
12:55.3,198.09,200,284.55
12:55.4,198.12,200,282.35
12:55.4,198.11,200,285.92
12:55.4,198.11,200,281.94
12:55.4,198.11,200,282.76
12:55.4,198.11,200,283.22
12:55.5,198.13,200,283.22
12:55.5,198.11,200,282.85
12:55.5,198.12,200,280.7
12:55.5,198.12,200,282.9
12:55.5,198.13,200,281.75
12:55.6,198.13,200,281.75
12:55.6,198.14,200,280.88
12:55.6,198.14,200,280.43
12:55.6,198.14,200,278.92
12:55.7,198.14,200,278.92
12:55.7,198.15,200,279.05
12:55.7,198.14,200,279.6
12:55.7,198.15,200,276.81
12:55.7,198.17,200,278.82
12:55.8,198.17,200,277.5
12:55.8,198.17,200,275.07
12:55.8,198.18,200,275.07
12:55.8,198.18,200,274.11
12:55.8,198.17,200,273.7
12:55.9,198.17,200,273.38
12:55.9,198.17,200,274.38
12:55.9,198.18,200,273.93
12:55.9,198.19,200,273.93
12:55.9,198.18,200,272.51
12:56.0,198.19,200,271.59
12:56.0,198.19,200,273.24
12:56.0,198.19,200,271.22
12:56.0,198.18,200,271.22
12:56.0,198.19,200,271.68
12:56.1,198.19,200,273.38
12:56.1,198.18,200,271.73
12:56.1,198.17,200,271.73
12:56.1,198.16,200,273.42
12:56.1,198.16,200,274.38
12:56.2,198.19,200,275.25
12:56.2,198.19,200,275.25
12:56.2,198.19,200,271.36
12:56.2,198.19,200,271.27
12:56.2,198.19,200,271.27
12:56.3,198.18,200,271.87
12:56.3,198.18,200,271.27
12:56.3,198.18,200,272.37
12:56.3,198.19,200,273.1
12:56.4,198.2,200,273.1
12:56.4,198.19,200,272.05
12:56.4,198.2,200,270.03
12:56.4,198.18,200,271.82
12:56.4,198.18,200,270.58
12:56.5,198.18,200,272.69
12:56.5,198.17,200,272.6
12:56.5,198.17,200,273.1
12:56.5,198.2,200,273.97
12:56.5,198.19,200,273.97
12:56.6,198.19,200,270.68
12:56.6,198.19,200,271.73
12:56.6,198.18,200,271.73
12:56.6,198.2,200,271.55
12:56.7,198.19,200,272.92
12:56.7,198.19,200,270.31
12:56.7,198.18,200,271.96
12:56.7,198.2,200,271.96
12:56.7,198.18,200,272.32
12:56.8,198.18,200,269.71
12:56.8,198.23,200,272.37
12:56.8,198.24,200,272.37
12:56.8,198.23,200,265.37
12:56.8,198.23,200,264.36
12:56.9,198.23,200,265.64
12:56.9,198.22,200,265.64
12:56.9,198.25,200,265.27
12:56.9,198.25,200,266.51
12:56.9,198.23,200,262.76
12:57.0,198.25,200,263.08
12:57.0,198.25,200,264.86
12:57.0,198.26,200,263.08
12:57.0,198.25,200,263.08
12:57.0,198.25,200,261.34
12:57.1,198.26,200,261.84
12:57.1,198.27,200,261.8
12:57.1,198.27,200,260.33
12:57.1,198.27,200,259.78
12:57.1,198.27,200,259.78
12:57.2,198.28,200,260.24
12:57.2,198.28,200,260.24
12:57.2,198.28,200,257.45
12:57.2,198.26,200,257.45
12:57.2,198.27,200,257.77
12:57.3,198.27,200,261.38
12:57.3,198.27,200,258.96
12:57.3,198.28,200,258.96
12:57.3,198.29,200,258.82
12:57.4,198.28,200,258.22
